Wall time,Step,Value
1528117238.013049,167,0.26007211208343506
1528117307.323034,474,0.20606546103954315
1528117323.3008716,536,0.21983644366264343
1528117334.2438426,586,0.18646062910556793
1528117347.7402713,647,0.197149395942688
1528117531.6441529,1436,0.190903440117836
1528117602.0283594,1737,0.19834701716899872
1528117635.1058884,1877,0.1977517008781433
1528117735.9554894,2307,0.144786074757576
1528117753.8939579,2389,0.20709455013275146
1528117777.3534129,2486,0.1521158218383789
1528117955.4075048,3246,0.17402951419353485
1528118244.7067502,4492,0.16593889892101288
1528118394.6104019,5134,0.09952100366353989
1528118575.4696422,5907,0.1298702210187912
1528118593.5903513,5990,0.2511712610721588
1528118761.2074904,6699,0.24050557613372803
1528118763.8336937,6711,0.1924080103635788
1528118824.1247947,6966,0.260265976190567
1528118939.5712142,7463,0.16306354105472565
1528119017.4315007,7798,0.13972805440425873
1528119025.0967655,7833,0.1465180218219757
1528119105.5130978,8180,0.12120124697685242
1528119114.4997947,8221,0.09484615921974182
1528119296.5056844,8498,0.09925134479999542
1528119475.6058753,9260,0.08375292271375656
1528119523.3449,9468,0.16379493474960327
1528119739.3389523,10399,0.12661367654800415
1528119855.0785491,10905,0.13419979810714722
1528119868.230362,10966,0.12150780856609344
1528119999.213672,11532,0.1965981125831604
1528120006.5408854,11566,0.1286366581916809
1528120097.8267298,11969,0.10085444897413254
1528120307.8933144,12877,0.35710299015045166
1528120344.6280699,13034,0.19078749418258667
1528120638.9772866,14294,0.1325056254863739
1528120725.3873627,14668,0.12624239921569824
1528120752.1156456,14779,0.1490127146244049
1528120913.5212317,15473,0.11195927113294601
1528121063.3957403,16116,0.11328106373548508
1528121354.6633496,16857,0.16725295782089233
1528121409.5839872,17097,0.08299435675144196
1528121460.0078948,17317,0.1606839895248413
1528121514.0206268,17543,0.12003921717405319
1528121976.240312,19531,0.08089899271726608
1528122002.575751,19640,0.20180252194404602
1528122022.5016265,19731,0.15354667603969574
1528122099.6879396,20062,0.22026363015174866
1528122211.0127177,20539,0.15257328748703003
1528122221.9608226,20578,0.08804415911436081
1528122269.564759,20782,0.1425054967403412
1528122285.555325,20855,0.11311295628547668
1528122339.4729784,21080,0.12758754193782806
1528122353.4554877,21144,0.11814116686582565
1528122394.218992,21319,0.10454074293375015
1528122628.9599624,22330,0.12925176322460175
1528122637.306391,22358,0.23290246725082397
1528122852.1588237,23286,0.12120744585990906
1528122870.9243705,23361,0.21645867824554443
1528122885.3691592,23427,0.15453113615512848
1528122942.967733,23670,0.1619289517402649
1528122949.7236693,23701,0.12180902063846588
1528123054.3247066,24147,0.21167804300785065
1528123083.875136,24282,0.14947590231895447
1528123094.9559186,24322,0.1020040288567543
1528123306.2379801,24727,0.1798102855682373
1528123354.5892608,24934,0.29416924715042114
1528123429.1694224,25253,0.0776142030954361
1528123790.510509,26797,0.4078725576400757
1528123977.5407805,27603,0.0807877629995346
1528124290.1176062,28970,0.1467268168926239
1528124295.7238672,28996,0.11285035312175751
1528124357.9055762,29263,0.19236555695533752
1528124488.7891495,29829,0.20106948912143707
1528124529.2239432,30005,0.13786451518535614
1528124638.025763,30470,0.15533889830112457
1528124669.1107028,30612,0.12511715292930603
1528124691.9287233,30706,0.16152051091194153
1528124695.003799,30720,0.2761739194393158
1528124854.5638418,31406,0.15576469898223877
1528124865.0996418,31443,0.22775034606456757
1528124980.0355108,31936,0.08886685222387314
1528125096.5321321,32435,0.17147336900234222
1528125320.0208762,32894,0.27709072828292847
1528125321.7769525,32902,0.10682009905576706
1528125385.6370494,33181,0.11842843890190125
1528125432.7194417,33375,0.08865047991275787
1528125516.5817623,33737,0.17473623156547546
1528125519.2264445,33749,0.250478595495224
1528125527.1085303,33785,0.14353224635124207
1528125538.9220772,33839,0.16548851132392883
1528125549.348461,33876,0.1811234951019287
1528125557.436922,33913,0.33639782667160034
1528125662.7079985,34362,0.1014166995882988
1528125700.673108,34525,0.1252778321504593
1528125716.8665147,34599,0.1678749918937683
1528125924.6414711,35483,0.0907212346792221
1528126032.2874508,35953,0.12661631405353546
1528126052.9956436,36037,0.11827124655246735
1528126191.679317,36629,0.17288635671138763
1528126198.2630508,36659,0.1754031628370285
1528126242.6034682,36850,0.1487804800271988
1528126324.4485729,37202,0.150811567902565
1528126392.4476154,37489,0.2580224573612213
1528126457.3422937,37764,0.10765666514635086
1528126481.8735688,37876,0.20213836431503296
1528126681.042258,38720,0.11199977248907089
1528126707.291727,38840,0.07952560484409332
1528126814.361403,39296,0.07588168978691101
1528126910.2838416,39702,0.11955077201128006
1528127267.9088583,40720,0.21736273169517517
1528127283.8064651,40793,0.24126417934894562
1528127396.473615,41271,0.18445992469787598
1528127599.8496284,42134,0.1404377818107605
1528127677.662987,42468,0.1099359542131424
1528127950.9490702,43639,0.30050960183143616
1528127966.7715104,43711,0.13509081304073334
1528127989.6725988,43805,0.12823134660720825
1528128033.2755392,43993,0.15021292865276337
1528128080.9220169,44200,0.104069285094738
1528128094.3914025,44251,0.09761897474527359
1528128105.9919057,44304,0.11758625507354736
1528128225.167177,44816,0.2531284689903259
1528128259.8306105,44964,0.25579777359962463
